There are 4672 factions playing the game of thrones
bgedfca adfbceg
efbgacd cegdabf
acegbfd fcagbed
bfecdga dgacbfe
bdgaecf fbedagc
egadfbc becadfg
eadcgfb cegfbad
dbafegc fbcadeg
aefgcbd gfdeacb
gbeafdc ebgadfc
bcdeagf bedgcaf
edcgabf ecbdfga
bfdegac gbdceaf
bcagfde gefdcab
dbgafce bgcdeaf
cdbefga gecfadb
aebcgdf agedfbc
dfbcage adbfegc
fdbcgae fbacedg
agedfbc cdgbaef
dcgbeaf edafcbg
gcdfaeb egabfcd
gbedcfa adfcgbe
fbcdgea fdcegab
afcegbd acdegbf
edbfagc gedcabf
fedgcab gdebafc
edfagbc dgfabce
bgefdca cbgdfea
degfcba agfecdb
aegcdfb fdcbage
bfceadg efagdcb
afbgedc cbafedg
dgfcaeb edfgbca
eafcdbg cafgdeb
bdfagce afdbceg
gbefdac gebdcfa
cdgabfe befdcag
degcfba gfdebac
ebagfdc cebdgfa
efgdcab gfcadeb
aefbgdc cegdafb
ecdafbg bgacefd
afcgedb bgecdaf
egcbfad efcgbad
efbadcg dfagbce
fcgedab cbaedfg
agecfbd gdeabfc
efdbacg daecfgb
cgdfaeb bfegcda
cfbdage cfgebda
efgabdc adgcbfe
abcgdef fcbaged
aefbdgc gbdfeca
gcedbfa dbcfgae
acebfgd deagbcf
gdbafec fcegabd
cefgbda facdegb
fgdebca bfacdeg
ebgcafd begfdca
dgebcfa aedcgbf
gedbcfa cagebdf
efcdgba edagbcf
cadbefg gcedfba
fegcabd bdfeagc
gbcefda dgebfac
agcdefb gcefadb
fgeabcd bdfaecg
acfbgde ecfadgb
baefgcd gbcafed
egfbcda cfbdega
dgcaefb daegbcf
cgafdbe bfcaedg
adfcbeg edcgbfa
faecgdb cdagfbe
cegdabf bgfadec
fbcegda cdfeagb
dgfcabe eadbfcg
dgbacfe fecbgad
fdgbaec cadfegb
dbgcefa adegfbc
dagbcfe dgbceaf
feadbgc dfaecgb
gefdabc fdegabc
debfcag gabedcf
dfceagb aegfdcb
abedgfc bacfedg
baecfdg cgdfeba
edfgbac fabcged
acdfgeb deabgcf
bcfdega efagbdc
bacdfge bafcdeg
efbcadg edfacbg
cfdeabg adfbgce
ebcdagf fgeacbd
adfcbge gdcabfe
gaedfcb gdafcbe
aegdbfc cadbgef
bedgafc bfgcaed
edafbcg adcfgbe
adefgbc dcfgbea
aedgcfb gbaedfc
cfebgad dbaefcg
bcagefd acfbged
baefcdg becdfga
gfbcade fbdaegc
gfadbce agcedfb
abfcdeg aefbdcg
agdfebc ecfagdb
bcgfdea dfgecab
gdabcfe eagfbcd
gbfcead gcfabed
fagbedc fabecdg
gdbaecf ecgbdaf
agcfebd fcbaegd
cgeafbd aecgdfb
cdagfbe cfdgeab
aecfbdg efbgcda
ecdgbaf bdacfeg
fedgcab gdebafc
cabedgf egabdcf
cdagbfe gfbdaec
fedgcab gdebafc
fcdabge efdbcag
bdfgcea fbagedc
bdgeafc gdfaceb
badgcfe aebfcgd
gbacefd dafegcb
cgfaedb ceagfbd
fgcaedb cgabefd
bgdfeca bgadecf
fagbedc fabecdg
bcgfaed cebadfg
ecbfgda bgecfad
decgbfa aedgfbc
cgfdeba cgebadf
dfbaecg gefacdb
afbgdce gdbecaf
cdefgab adfcebg
dcgaefb fgaecbd
degcabf gbdfaec
dagfbec gecbdfa
fbagced dafgecb
dcabgfe bdeacfg
faedbcg dafcgbe
edafcgb febcdag
becadgf cadefgb
edbcafg adgbcfe
bgdaecf cegfdba
ebgcdaf facdbeg
adcbfge fbcegda
fdebagc abecfdg
dacbfge bgfdcae
fgebdac adbfgec
acdgbef fgdcabe
bdfaegc eacdgfb
cdeafbg agdfcbe
agebfdc ecafgdb
bcdgeaf cfgeabd
bceadgf cfdbeag
cgabefd bfdcage
aefdgbc agecdbf
adegfcb gbcedfa
cedabfg dcabgfe
caebfgd dgafceb
dbagefc bdgfeac
dfbecag gfaedbc
acedfgb bedgafc
cdegfab bgafecd
fcgedba afcgedb
agbecdf cfegbad
acfgdeb dgbafec
fbadcge gdcbfea
gdbacef gefadbc
dgabfce abgefcd
aedgfcb gbadefc
egdfacb abgfdce
gfcdabe acdbgfe
cagdebf gaecfbd
feacdgb bagfdec
fcbgdae bafcdge
fdbecag fgceadb
dfgeacb abdgcef
adgbcef agbcedf
baecgfd cegafbd
dacbgfe fecabdg
ebdfagc acfgedb
agdfcbe cgaefbd
bcefagd dfacbeg
fgdaecb bdgefca
gefadbc bfcgeda
fegacdb cgdebfa
fgdbeac fgbeacd
fceadgb aefgdcb
cefbadg bgedcfa
afedbgc dbcgafe
egcfadb gbcafde
cbdefag afegbdc
dfabgce cebgdfa
bcagedf cgdfbea
bdgeafc gdfaceb
fbcgade gdfabce
cdefabg egfacbd
gbacefd dafegcb
cafbdeg afbgcde
dafegcb dgebacf
cdfeabg gcbfaed
efagdbc fcadgeb
gfaecdb gfbdcae
gdecafb cdefabg
fbeagdc feacbdg
gcfaebd daegfbc
dbagfec cdabegf
bafgdce ecdgabf
gfeabdc dfcgbea
badegcf edabcgf
cfgebad ebcdfag
agcbdef cafbedg
dcebfag dfcabge
bfcegad fecdagb
fgcbade gbafcde
gbcafde gafcedb
dfegacb gacebfd
agcdbfe gecfdba
cfadbge bcegdfa
adfgceb dbecafg
dacbegf ebdagfc
cadfegb afdgbce
dbcgfae fcbgeda
dfeacgb fecdabg
efagcbd gcdafeb
fdgebac fgcabde
cadefbg adecfgb
acbedgf fadbegc
egfcbad cgfbdae
eagfcbd dcegfba
ebcadgf cgadfbe
gabefdc fagcedb
beadgcf gbdacfe
cgadebf cgfabde
dbcefga agfdebc
edgcbfa cegbadf
dfabegc bcadgef
aefgcdb adecbgf
cegbdfa aebcdgf
bgdaefc agbdcfe
cfdeabg adfbgce
efacdbg cfdagbe
dfcbaeg cfaebdg
dfaecbg ebdcfag
fabcdge fagecdb
fegcabd bdfeagc
cebgdfa febgdac
dgafceb debfgac
adebfcg acdbfeg
bfaecdg fagcebd
cgbeafd dcfegba
acefgdb edcbgaf
abedfcg daebgfc
afdbgce acgefbd
dbcgfae fcbgeda
ebcafgd aegbcdf
edbcagf gbfdcae
adgfecb ecdbagf
eadbfcg gfadcbe
daefgbc afcegbd
abfcdge aebgcfd
gdecafb cdefabg
cbfedag cbfedag
faedbgc gedfcba
ecbagdf efbgdca
cbfdage fcgebda
dacgefb cfgdeab
fcabegd fbcgade
beadfcg dbceafg
dgcbefa fdegbca
abdecgf bcfgdae
egfacdb degbcfa
aebfdcg bcdaegf
cgdefba edgcabf
ecfadbg adbefgc
dbfcgea cedfgab
abfdegc aegdcbf
cdfebga dcbfgae
acfgdeb dgbafec
debfcag gabedcf
acgebfd cbfgdea
gafbdce afegbcd
debacgf eadgbfc
dgceafb gacfedb
eadfcgb cfegdab
ebgacdf dgebcfa
efacbdg decgbfa
bfcedag dacbgfe
fbacedg gdabcef
acebgdf bgeafdc
agbdfce eadfbgc
gbcfdea fadgbec
bdgfeac edgcbaf
gcdeabf cadebfg
cfbadge eacfgbd
edbcfag gebfacd
dbfegac ebcgdaf
gadefcb daecgfb
cbefgad edbfgca
efabcgd badegfc
afedgbc begcdfa
feabgcd caedbfg
fdagbce efabgdc
dfceabg afecdbg
gcfeadb bgfeacd
eagdfbc bcfgead
cfbdega dfcaegb
bedcfag cbgadfe
dgcfbae bgfeadc
beagfdc dabgcfe
edfbcag debfgca
dgacefb cbgefda
cagfebd bfeagdc
efcabdg cdgeabf
gcfeadb bgfeacd
fgabced degfabc
ebdfgca fbadcge
fbgdeac ecgafbd
defgcba abfcedg
feagdbc cbefdag
dfgceba fdgebac
befgcad daefbgc
abcgefd aecdfgb
edgcbfa cegbadf
edabcfg ecfdabg
cbfgeda fcgeabd
gcebfda cdbaegf
cgfadeb aedcbfg
ecfbdag defbagc
ecgafdb agcdbfe
ebfcgda adbcegf
dgcafeb becfdga
afbcged bcedgaf
aedbgcf agdfbce
fcdbega cbafegd
acdfbge fdcaebg
feacdgb bagfdec
bgaedcf dcabgef
acfdgbe bfgaced
gfdbeca cagdebf
egfacbd eagbdfc
dcgbfae cdfgeab
facbdge dgfceab
gdfabec degcbfa
gafebcd fbaegcd
dafebcg gfcbdae
ecgadfb fagebcd
aefdbcg dfbeagc
gbcdfea eafdbcg
bfaegdc cbdafeg
edgbacf bgafdec
aefgcdb adecbgf
afbcdge abefgdc
dcgfabe cdagbfe
fbdgaec bcaedfg
begadfc gedbcfa
gafbecd abcegfd
fbcgead febadgc
bcgdfae abgedcf
eabgdfc bgdcaef
gefbdca gebacfd
cfdgeba febagcd
bedfagc abdecgf
acdegbf fdbgcae
afgdecb bgeafcd
edbacgf aebfdgc
bfgdeac bdegfac
edfcabg fgaedbc
cabegdf gdaefbc
debgfac agcefdb
ceabgfd baegcdf
ceabdfg egdfabc
ebcdfag dcfgeba
egdbfac bfcdgea
aegbfdc aecgfdb
faebgcd afebdcg
bfgecda dacefbg
cagfbde agecbfd
agebfdc ecafgdb
gdebcfa cegadfb
acbfgde ebfacdg
bcaegfd dfegbac
gacbefd dbefcag
gbadcfe fedgbca
agcbedf aefdcbg
dabfegc caebdgf
dcgfbae edcgafb
debacfg fegcadb
bcedgaf ecafdgb
agdebcf edgcafb
gfcbeda efacdbg
edcfbag eafbgcd
egdafcb gfbedac
gfdbcae ecabgdf
egdcfab bfdgeac
fdaebgc dcefgab
cabfedg ceafgdb
baegdcf gfcedab
gdbacef gefadbc
ebdgafc dfabegc
bfdgeca cdgbafe
bgdaecf cegfdba
aegdfcb gaefdcb
fgacebd afcegdb
gcdeafb bgcadfe
edcbfag fcbadge
aegbcfd fdbcgea
fgbdcea cbadegf
bcedafg geacdbf
dfgcabe efbcdga
eadbfcg gfadcbe
eagdbcf gefadcb
fgcabde gecfbda
bgdefac efdcagb
gcabedf cdbfaeg
fegbacd aefdbgc
cdbaegf bedgcfa
abgefcd ecdbafg
aebcfgd abcedfg
debgfca fgdbeca
facbedg gaecbdf
cfgdaeb fagcdbe
gafcdeb badcgfe
eabdcfg cdbegaf
ecfbdag defbagc
degfbac fbgdcea
gedacbf edbafcg
cgedfba abedcfg
gabedcf bafecgd
cafbgde dgaebfc
edbafgc cfdgbae
bgecdfa befcgad
adegcfb becgdfa
beafcdg fbdagec
fdcbaeg edcgbaf
dfbgeca bdegcfa
fcabdge cbaedgf
eagcdfb eabfcdg
ebfdcag fcdgaeb
cabedgf egabdcf
ecdbgfa ecdagfb
dbgecaf eabcfgd
eacbfdg fdcabge
cfeadgb edfcgba
bfdgcea bcgeadf
gefdacb eagbcfd
gcdebfa agbefdc
facebgd fcaegdb
gcefbad bafcegd
bdcfega dgecfba
degfacb ebagfdc
gcfedba acdgfeb
faegcdb cbfdeag
bcagedf cgdfbea
fbgadce aegbcfd
edcfbga egbfdca
fedcbag dbefgca
edgbfca aebfgdc
gaebdcf ecadbgf
aefcdbg bdecagf
bcfdage cbgaefd
dbfeacg dgcfeab
gacfdbe fgcdaeb
edacgbf dfecbag
cegdfba bfcadge
badgcfe aebfcgd
acdfbge fdcaebg
daefbcg acefgdb
deafbcg adefbcg
dcebagf bdagfce
dafgceb degfcba
gfcbaed egcfdba
ebcafgd aegbcdf
cdbfaeg befcadg
bcfgead cfedbag
acdegbf fdbgcae
bagdefc acebfdg
adegbcf dabgcef
agdcfbe cegfbda
adgcfbe afdcbeg
ecafbdg dfgbaec
adgfbce cgadebf
gfaecbd bdgcfae
fegcbda befdgac
fdeacbg gafbedc
fdgceba dgcaebf
bfagcde fagedbc
cdfeabg gcbfaed
gacedbf geabdcf
fdcbgae dbcefga
aecdfbg bgacedf
aebcdgf dcbegaf
badcfge gecbfda
ebfagcd decafbg
begcdfa fdbaecg
cbdgfae bcefagd
dgefabc agdfebc
adfcbge gdcabfe
bfegdca cgbfdea
agdfecb agdfecb
abfgedc bcgadfe
cgfebad fagedcb
bedacfg gcefdab
bgacdef dbecgfa
adgcfeb dcgfabe
daecbfg cgbedaf
bacfged fdbcega
bgfaedc fgcbade
dcabfeg cgedfab
cbdgeaf bfcgead
dcgbeaf edafcbg
agfbcde bdfaceg
egcdafb dagbcfe
bfedagc cdgfbea
edagcbf dabfecg
gedabcf dacegbf
fgeadcb fgaebdc
bedfgac gadcefb
cfbadge eacfgbd
adcbgef cfbdgea
bdecfga cadegbf
bfadceg bfgadce
gdbafce adfbecg
bacedfg gbcdfea
cbgdeaf fgadceb
efbacgd egbacdf
gdbface cdafegb
decbfga feabdcg
adecbgf dcebagf
egfcadb fdaegbc
cdgafeb afcbedg
bgdface gbfdace
edfgcba agbdefc
decgbaf fgcbeda
edgabfc cbfdgae
fbeacdg cabfdge
cdebfga cafgbed
edbcagf gbfdcae
acebgfd fegadbc
fgcdeba fadcegb
fgdbaec bfcdeag
