5000
dfcabge edcfgba
deafgbc debgafc
gafdbce dcafebg
adegcbf bgecfda
adbgfce bfedcga
ecgbfad gceadfb
gaebcdf fdegbac
dgfbeca dfcgabe
bgdefac efdcagb
dbafceg edgfcab
gdbceaf bgefdac
febgcda abcefdg
fcdgaeb fcbgead
gbdafce caegbfd
egfadbc fcaedgb
deabgcf dcefabg
ecbgdfa adfebcg
fgcbaed fcaegbd
caefgbd gdafebc
ecbgfad gbadfec
gfcedba gfbcead
bgeadcf bdecfga
faegbcd faedcgb
fabgced adbgcfe
eabgcfd afcdebg
cdfgeab bafgced
becdafg cbdegfa
cefagbd acgdebf
cbedfag afdbecg
dgcfbae bgfeadc
fgadebc efabgcd
eafdbcg bdfgace
edgfbca bdafgce
cebafdg fgbaecd
ebfadgc fdcgaeb
cdegabf bfagdce
bcfaged bfdgcea
abgcdfe cdfebga
facbegd bfcdega
cgabefd bfdcage
adcebfg gdecafb
afebgcd gecadbf
fcdgbea ebagfcd
acfbged dagbecf
agbdcef gdebcaf
dgbcaef abfdceg
eagcbdf gcdfaeb
egbafcd gdebfca
acfbedg caedbgf
fbcgdae cfdaebg
cadegbf gbacfde
bdeacgf fcdagbe
bceagdf daefgcb
cbfagde gadefcb
adbfecg edbcafg
fdgaceb degbacf
befdgac fceadgb
ceagbfd gacbdfe
gadbfce adfcgeb
eacbgdf cgabdef
bcdegfa acgdfbe
dcbeafg ceagdfb
baefcgd caegbdf
cdbfgae edbcgfa
fdbaecg ecafgbd
fdgcaeb cfabgde
ecfgdab cbdaefg
gdbefac gfbcdae
gfbedca cgfdbea
fabdegc fbgecad
fbagedc bcfdage
beacgdf geafcbd
ebfcgad fdcbgea
decgbfa aedgfbc
bfgcade efabdcg
ebcfdag daefcgb
debacgf eadgbfc
abcfdge gbfceda
dbecfag egbdfac
bfcdaeg cbfegda
dafcgeb gbdfeac
dbfecga ecgafdb
caefgdb ebafgdc
cagebdf cfgbdea
gbdaecf agfdbce
fbcgdea dcgbfae
cfgebda dcfabge
bfdcgae fcaedbg
fbgdcea bcgfeda
bdcegaf gcadbef
ceabfgd fadgbce
dafcbeg gfacbde
ebfcdag gefdbac
aefbdcg abegdcf
ecdbfag cgaedbf
cdeagbf efbdcga
aebdfgc gcabfed
gbfcead gcfabed
cagdfbe edagfbc
agbefcd dgbecfa
gafdecb fbcdaeg
cdgaefb acdebgf
fadbecg efgdbac
gcabefd acdgfbe
fdbgcae acgfbed
gabcdfe efcdbag
cgebfda fgbcdae
cfadbeg dagbefc
dfceagb aegfdcb
decfbag dcegabf
cgaedbf aecbgfd
agcefdb dbcfeag
badgcfe aebfcgd
cafbdge cadbegf
ecfbgad bfceadg
cgafbde gfedacb
gfbdaec bgecadf
cdefabg egfacbd
afcgbde acegdfb
dgeacbf bfacgde
begcfda dgceafb
ebfcgda adbcegf
fgebadc fbceadg
fbeadcg edabfcg
abedfgc cdfeabg
egcfdab afecbdg
dgefbac gfebacd
cafdbge bdgcaef
eadgfcb aebdgfc
dagfecb gbecafd
dfabgce cebgdfa
aegdcfb beacdgf
cadfegb afdgbce
caefdbg dcafbeg
bfgadce bgdfcea
gbcfead cabdfge
dcabgef badcegf
ecfabgd fagdceb
adebgfc bacdgef
efcgdba adebgcf
cgefabd becgfad
efcgabd bfagced
gfdbcea ecdbgfa
dbaecgf bgefcda
adcefbg acfbdge
gecdfba cefbadg
efcdgab afcdgeb
facbdge dgfceab
bdfaecg geacdfb
acbedfg abfedgc
fgebacd ebfagcd
fabedcg gcfdabe
fegbacd aefdbgc
aegdcbf fadcbge
ecfgadb bcegafd
cdafbeg cbefadg
gdbeafc ebgadcf
cabegfd bgcefda
bagefdc gcfbdae
gbfedca egfbadc
faegcbd gfabced
bgafedc debgfac
gefcdba abegcfd
cgdeabf gaecbfd
cfaegdb cbdgfae
eafcgbd egfacdb
bedcagf dcgafeb
baedcfg cgedabf
faedgcb ecafdbg
acbdgef dafecgb
ecbfgad fbacegd
debcgfa ecdfgab
dacfgeb bdaecgf
afcdegb egadfcb
cgbdafe adfecbg
bedcafg fcebdga
abegcfd dbgafce
efcagdb fbdcega
bafcgde dgbfeca
dgbfeac cbfadeg
aegdbfc cadbgef
gacdbef gcbadfe
bgcaefd gacefbd
agbdcfe fbaegdc
faedbcg dafcgbe
adebfgc fdgbcae
dcbafge bgeadcf
gdfbace bdeagcf
ecdbfga egdcfba
gdcbefa bagdcef
bcegadf cdfaegb
eagbcdf cbdagef
cegbfad bfcgdae
adgcfeb dcgfabe
gacfdeb caefgdb
fdgecab beagdcf
fcegbda ecbgfad
bfeacgd bgdfeac
dbefagc cgfaebd
fcgdaeb fgdebac
egdabfc efcdabg
aedbgcf agdfbce
bgcdaef agcfbde
bgcdeaf fadegcb
efbcadg edfacbg
dfaebgc bacdfge
dabfgec cebfgad
bgcfdae caefdbg
cgadbfe bdgcfea
cgdefba edgcabf
gfdceab gbdaecf
fcaebgd fadgceb
dfcaegb cfgbade
cegafbd cdaebgf
gdcbaef dbagfec
adfcgeb fgbdcea
gfbecad egabcdf
edgacfb ecdgbfa
ecbfadg fcgaebd
gecabdf edacgbf
afbdceg afcebdg
gbafdec cfbeagd
gdebafc agcdefb
bfaedgc deagcbf
efacgdb cebagdf
febdcga afcgbed
begdafc bdcfega
fbcdaeg adcbgef
gafbcde gcbedfa
agcfedb befacgd
cefgbad defcagb
dacegfb aecgbfd
bcfgdae fcedgab
dgacefb cbgefda
fcbaged abdgefc
acdbegf dcebfag
gedfbac egdcafb
fedbgac befgdac
cgfbdea ecbgadf
efcabdg cdgeabf
fadbceg ebcagfd
ebdagcf faegbcd
egafbdc fgedbac
adbegcf fdcbeag
bedcfga dbgfcae
cabdefg abdcgfe
afegbdc eabcgdf
gfecdba baegdfc
bgadfec gdfcbae
egcafdb dfegacb
fagbced dfbegac
cfbdega dfcaegb
aecbgfd fdcageb
fdcabge gfcebda
aefdcgb cabefdg
dfeacbg cgbedfa
fcbdeag abgdefc
ebdgcfa eafcdgb
ecagdbf dgbcfea
gecadfb fbcdega
fgbecda afdcegb
fcegbad caefdgb
debagcf fgbcdea
dgbacfe fecbgad
fgbedac egfdabc
dbfegac ebcgdaf
cgedafb cdabefg
decbgaf gdcfaeb
deacgbf eabdfcg
afdcegb daecbgf
gcdfeba gcfeadb
fdeacgb cabfedg
bgfcaed bcaegdf
dabefgc adfbegc
fegcbda befdgac
adebcfg faegdcb
cadbfeg dcgfbea
bafdecg abgdfce
eagdbfc abdfgec
cdefgba fcgabed
ecbagdf efbgdca
ecdabfg dabcgfe
afdgebc cfdageb
bcegdfa afbdegc
deafgcb gabfdce
cgdaefb ceabdgf
cefgabd gbaedcf
gabcedf afdcbge
cgebdfa bgedcaf
edcagfb gcadebf
cgdfbae gadfecb
faebdgc dgacbef
bcfadeg fdbcaeg
abgcfed aefbgcd
geacdbf edacbgf
dcabefg fgdebca
bagfced dgcafeb
dgafbec gbecadf
aebcfgd abcedfg
dbfcgea cedfgab
fdegbca fbecagd
fgcedab fegdabc
dgcbaef fgbdaec
cgebafd daebcgf
fgdaecb bdgefca
edafcbg dacfbge
efdbcag gbfdaec
fcbadeg gacdbef
agdcbef dafbceg
gbfeacd edcbgfa
deacfgb bfdgcae
ebfadcg cdgfaeb
aecdgfb bcfgade
fgdebac edgafbc
cgfbade gbfedac
ebcdagf fgeacbd
debfcga aebfgcd
fagdceb cfdgaeb
bcafegd gcafbed
fgdecba dfbaceg
cbeafdg bfegadc
cdbeafg dcgebaf
edacfgb edagbfc
cdbafge debgcfa
efcadgb fgbedca
agdefcb cfdbaeg
gacebfd becgfda
ebcdgfa cgbdafe
dcafbge ecfabgd
cafgbde fcgdeba
edgacbf dfgbeac
aefbdgc gbdfeca
cdaefbg fgbdeca
bcfgdea acefbdg
cgebfad edcgabf
acfgdeb dgbafec
fdbcega gbefdca
bfgdeca afcedgb
fagcdeb acdfebg
adgefcb efcagdb
bdaecgf gbdeacf
fbcdeag febadcg
dgebcaf egafcbd
fcbdgea afcgebd
fcdbgea ebgafdc
dceafgb afbcgde
cagbfde agcfebd
eadbgcf bcgaefd
adfbgce dbaecgf
bagfdec dbgcefa
efcbdag cdegbfa
abcgdfe fcbgade
bgaecdf cafebgd
ebfdcag fcdgaeb
cdebafg dbgfeac
fgdbeac fgbeacd
fbdecga eabdgcf
bdegafc bgefcad
fecabdg cebfdag
aecgfdb fgebadc
gacbfde gfceadb
bagdcfe dbcgeaf
facbgde fdbcgae
efbgadc dgfbcae
dcbefag edbcfag
bcfgeda gcaebfd
bfgedca bdafgec
acbedgf fadbegc
gabecfd cefgbad
gadbefc cfeadgb
gfcebda egdcfab
bgcdefa adgbecf
ebdfgac gabfedc
fagdebc bdagcfe
dcegbaf abgdcfe
abgfced ceafbdg
dfagebc ebgcdaf
baegdcf gfcedab
edcgafb fadgebc
cbeadgf afgebdc
gebfacd efcbdga
agcdebf fdbecga
bdeagcf fbdcaeg
bfegdac gaedfbc
bfgdeac bdegfac
gacdfbe fadbgce
acbgfde ecfgabd
fedbgca edbfcag
bagedfc ceadgbf
ebdacgf fcbegda
adgbefc agbecdf
cgfebda fecadbg
fgbedca gadcfbe
fbacegd bdcegaf
ebcdfga fcegdab
fgadbce feacdgb
fdeagcb dcbefga
gaebfcd fdecbag
bdgaecf fbedagc
cbgdeaf fgadceb
fgacedb bedcgfa
gbfcdea gcdaefb
fabedgc gdfeacb
agbfedc gefbdac
edfgacb gdfacbe
gdcfeab dbgafec
fcbedga acdfegb
fgadcbe fagcbed
gfeabdc dfcgbea
debgcfa egbdcfa
abcgdef fcbaged
abegfdc debafgc
bcdfage dcbgaef
edfgbca eacdbfg
gcfdaeb cbfgeda
bgcefad dafgcbe
efbacgd egbacdf
cefadbg agcfedb
cefbgda gbeafcd
gbdcfae fabdgec
cegdfba bfcadge
becadfg dbgecfa
bfcdega cdfgeba
fbedgac bgdafec
cgdfeba deacfbg
dfbgeca bdegcfa
dbecafg ceadbgf
efabcdg efdcgba
fdecagb gcadbfe
gfcdeba feadcbg
cegfbad dagfcbe
bedfacg acfbdeg
gecabfd bdagcef
cfgabde abdgfec
cfdeabg adfbgce
gdafceb fdgcaeb
dacbfeg dfbgaec
fdagebc edfbgac
cbeadfg gfdaecb
gfaedcb feacbgd
febcdga aebcfdg
ceadfgb dafbcge
egdfacb abgfdce
ebcafgd aegbcdf
ebcdgaf gdaecfb
eadcgfb cegfbad
acdebfg dgacfeb
fcgdbea egdafbc
ebgcfda fbdegac
agbecfd gcfdaeb
dcgaebf daebcfg
acdgebf agfebcd
fcedagb adcfbeg
bdegcaf efcbdag
efcbadg dcefbga
agcfbed dgabefc
dbgefac gbfeadc
adbfgec efbagcd
abfcedg bfedacg
aedgbcf eabcfdg
facbged cdgabef
decgfab agfcbed
adfbegc cabgefd
abfegcd efgadbc
edcgabf ecbdfga
cedabgf bdaecfg
cebdfag acedgfb
egfacbd eagbdfc
bdcgafe cgbefda
geacbfd ecdgafb
egcadbf cdebafg
dgfaecb cdafbge
fbgeacd fgcbaed
fdgecba cfegabd
gecfdab dbegafc
ceadbfg faebdgc
acdbfge acbfdeg
eacbfdg fdcabge
daefcgb gfedbca
eacgbdf gfcabed
efgdacb debcfag
gcefbda ebgfdca
dcgfbea dafbgec
gfeacbd bfagecd
facgdeb cdefgba
cbadefg dbaecfg
bfacegd efgdbca
bfdgace gfaebdc
gbcdafe dacbefg
dbcfgea ecabfgd
cadfbge eadfcbg
bdcfega dgecfba
dgfcbae afgcbed
eagcdfb eabfcdg
bfgcdae egdfcba
aecgfbd decfgba
bcdfaeg begafcd
bfgcaed efgcabd
fadbegc aedfbcg
gbcafde gafcedb
fcdbgae ebdcgaf
gfdeacb bgdceaf
fcebdga fgdceba
ecafgdb cgadfeb
dabfceg edagcbf
cgbadef fcbaedg
eacdfbg gedbfca
gdfbcae fcdeagb
gfecabd dfebgca
dacgebf gbdfcea
ebdcfga egfabdc
ebdcgaf efcadbg
edcgbfa gfeabdc
fbdgcae ebgacfd
gfcdeab aecfdgb
cgfdbea deacfgb
bfeadgc gbcfdae
bgcafde fegbacd
ecdfbag gfeadcb
cegdabf bgfadec
gcdfeab abcdegf
dgfbcae bgacfed
dbfcaeg gabfecd
dagfcbe eafbdgc
cedbfag decagfb
cefagdb fgcedab
afcebdg fdcaegb
adgebcf bedacfg
begafcd acebfgd
cefgadb adbgefc
gfecbad acfgdbe
gcafdbe dabgecf
dabcfeg afedcgb
agfdceb bgfcade
cgbdefa cdafbeg
bcfdega efagbdc
ebafdgc gcadefb
geabfdc fbdgcae
gfecbda edfcgab
bfegdca cgbfdea
afbegcd bcgafed
adecgbf dfbcgea
fedbcga bgfdcea
bfdacge cebgdaf
dgfaebc dcafegb
daegcbf dbafgec
abgdecf egacbfd
ebgfadc cdfbega
cfegadb dcagbfe
egcdbaf fbcaged
degfbac fbgdcea
defgabc bedcgaf
cgdaebf egcfabd
gdcabef eadcfgb
dbgaecf efcabgd
dcgeafb gbdcfae
fdebgac gdbacef
adcbefg cegfdab
bgfecad cfedgab
aegfdbc gdfbeca
cefgdab gbefacd
baegdfc agbcfed
fagedcb cafdgeb
geabcfd dbeafgc
fdebacg agbefcd
dcgeabf fegbdca
baecfdg cgdfeba
cadbgef afedcbg
ecbagfd afdcebg
gdbface cdafegb
ecdfgba egdbcfa
bdagfec dgbfcae
eacgbfd bgcedfa
geafcdb bcgfead
gebacdf cbeagdf
bagcfed dbfceag
dgebfac debfacg
fbagced dafgecb
dfbeagc dcfageb
cdaefgb cgeafbd
ecafbdg dfgbaec
cebdafg cgafedb
gcfdeab dcaefbg
ceabdfg egdfabc
aebcdgf dcbegaf
degabcf efcgdab
afgebcd gdacebf
eacdfgb gdfceab
cdagbef fdagceb
cfebdag ecgadbf
ecbafdg gfdbcea
gfdeabc dgfcabe
aefgdbc gaecdfb
bfcgeda cbedgaf
egbcdaf fbegcda
efagbcd ebacfdg
acfdgeb dbagcef
fdcegba bacgedf
facedbg baedcgf
bgadcef cegdfab
gdcebaf abcdfeg
ecfbdga bagdfec
bdacefg efacbdg
begdfca fcegbad
bdaefgc fdceagb
gfeacdb aecdbfg
aebdgcf cagbdef
feacdgb bagfdec
dafbecg fdecabg
fbcaedg dagfceb
aegdbcf acegbdf
bagfedc facdgbe
abcgefd aecdfgb
edbgcaf gfacdeb
egfdcba fgaedcb
cefbagd dfcbaeg
gcbaedf gcbeafd
cbadegf gabfcde
afcbegd bdaegfc
degafbc bacgfde
fbgaedc fedabcg
aefdgbc agecdbf
acbegdf dabecgf
cgfdbae dabefcg
dfabegc bcadgef
gabdfce cfdegab
gbefdac gebdcfa
agdbcfe gacbfde
adbgefc bdfcega
dgfecab cdfabge
bgdeafc afcdgbe
dcagfbe fbgdeca
dcfgeba gfadebc
bfdegca dacebfg
afdebcg beagfdc
edcbfga facedgb
afedbcg bfgedac
fgbdeac efgacbd
agbcfde fadcbeg
befgdac dcfegab
ebdcgfa gacfbde
cbfgead gbdacef
dcfagbe bgdafce
edbcagf gbfdcae
bacdefg bfcdgae
edacbgf cfdebga
gcfedba acdgfeb
egacbfd dgeacbf
bgefadc agdcbfe
bfaecdg fagcebd
abgdcfe gefbadc
gefadcb fgdbcae
bdcafge bagfced
gdcebfa fbdgcea
bgdacfe beafdgc
cdfbaeg cfabged
bfagecd bgacfde
fgbeadc afbgecd
bfdegac gbdceaf
ebfcagd cdbgafe
gcaedbf dgfbaec
gcbeadf becagfd
fgcbead bdgfcae
gfdebca afdecbg
bcfdgea cfagebd
cabedfg gfcdeba
bdagfce fecgabd
dabecfg edcbafg
cfgdabe afbegdc
gdfbeac cfdabge
cefbdag cagfdeb
cegadfb fbagced
dabegfc faedbcg
fecdgab agfbecd
fdagbec fcbedga
baefcdg becdfga
dfcegba egcbdfa
abdcgfe eacbgdf
fegabcd egbacfd
dcaegbf efbadgc
acfbgde ecfadgb
agcdfeb dcbagef
fegadcb afgdecb
gbeadcf edfagcb
gfbacde caegfbd
abdegcf efbgadc
faedgbc daebfgc
daecfbg fgbaced
fdcgeba bdfacge
bcgdfae abgedcf
dgebacf efdgabc
cdbagfe becdafg
dacbefg edcbagf
begfcad gadbefc
cebgfad dfegbca
ecfdagb dfgeabc
fdgcbea bgedafc
efcdagb fbdgeac
dbfgeca decfbga
feadbgc dfaecgb
caebgdf cbgdfae
acdgfbe bacgfed
dgecbaf gebcafd
bdagcef dcagebf
ebgdcaf ecbfgda
edbcfga cbdfgae
ecdagbf gedfacb
cfegdba fedcagb
aefbgcd gfacebd
abdcefg fegdcab
fadcbeg agebdfc
bacdgef defgbca
dgefacb gfbaedc
afdegbc gcbdfea
begdcfa abgcdfe
bdegfca deafbgc
afdgecb cefadgb
egdbfca acdbfge
cedgfab agfcdbe
aegdfcb gaefdcb
caegdbf acbdgef
gcbdfae deafbcg
cgeafbd aecgdfb
ebcdafg bfegdac
bacgfed cefdgab
fdbagce fdecgba
adbcgef bfgdeca
acfdgbe bfgaced
cbafdeg cbgeadf
fadecgb cebadgf
gacfebd cfbgdae
fedcbag dbefgca
dbafcge bgedfac
ebcdfag dcfgeba
cefdbga geafdcb
dbecgfa deagbfc
fbdagce cbdegaf
abdecgf bcfgdae
faecbgd fbagcde
cafbgde dgaebfc
gceafbd fgcaebd
eafbdgc ecgfdba
fcdaegb gfecbda
cgbeadf dgfcbea
aecdbgf caedgfb
cgaefbd gecdfba
egcdabf efdgbca
acedgbf dacbfeg
bfcadeg fgbadec
beafcgd fcdbgae
fbceadg gbfcdae
fadcbge cabdfeg
ecfdbag edfagbc
cabdgef ebdafcg
afcdgbe bgeacdf
fabgcde begcadf
gefacdb gbfeacd
cdfbage egacdfb
gfdabce ebdcafg
adgbcef agbcedf
gbafdce ecagbdf
fbegcad gdbaefc
gdacbef degfbac
begfdca gefbdca
gacefbd aebdgcf
gdbcfae cbegfda
gcafbde febdgac
fdceabg bcfegad
cdgefba cbadgef
efdabcg bcdagef
bdecgaf bcefdag
bcgefda befgadc
bedgfac cdgebaf
agfdcbe bdacefg
abdfgec gafbdec
cbeagdf cbeadgf
aefdcbg gceabdf
fgecadb eafbgdc
dcgfeba cgdaefb
befcgda bdfaegc
dfaegcb dcbagfe
dcgfbae edcgafb
cgbfade cgbdefa
edbfgca cedafbg
gfabdec bgdfaec
bcegfda afcbged
gedabcf dacegbf
fgcaedb cgabefd
edbfagc gedcabf
fcegdab gefdacb
dgfabec geadbfc
afdcgeb bacgdef
fceagdb edbfagc
fdgceba dgcaebf
bfegadc egcfadb
dacefgb dcabefg
bagfecd fdagebc
bcafgde eabgdcf
acbgfed feagbdc
fbgcdea dbafgce
gacefdb dcbafeg
fbegdac fcgeadb
adecgfb gedcfba
egfabcd cgeafdb
fbacedg gdabcef
gbcfeda dgebafc
febacgd fabcgde
dfcaebg ebfcdag
ecdgabf bfgeacd
gcbdefa gcbefad
gebfadc cfdgbea
ceadbgf abcgfde
dacegbf bdegacf
dcfegba cdgbfea
cfadbge bcegdfa
fdbcgae fbacedg
abgfdec gebdacf
cdgbafe deafcbg
gabdecf cfbaegd
cfegbda edgacfb
bgcafed efgdacb
gcedfba ecfbadg
dgcbefa fdegbca
fcegabd acgdbfe
befdcag bdgacfe
dbefgac gfdaebc
degbfac fgbedac
bdecafg dgeabcf
abdfgce cebdgaf
fbaegdc gcebfda
afegbcd gfebadc
ecagfdb eacbfdg
bgceafd ebacdgf
egacfdb gbafdce
beacgfd eagfdcb
fdcbeag cedgbaf
edcabfg adgfebc
afcdgeb gabecdf
daegfbc deafcgb
bcedgaf ecafdgb
geadcfb cbagfde
gfcabed gdfebac
gecdbfa egafcdb
bcfadge egbcafd
gfdcbea efagdbc
gbfdeca acbfgde
adfegbc bcfdgae
adcegfb dabegcf
cegadbf bagcfed
bacgdef acdfbge
degfcab cdagbef
eabdcfg cdbegaf
agecdbf egbfdac
cbdeafg begdcaf
eagcfdb ecbgfda
cafgebd baecdgf
dgfbeac gdcebfa
bedagcf abfedcg
eabcfdg dgcabef
bgecfad gabcedf
cbegafd febgacd
baegfcd fdeagcb
gabfcde bfadgec
fcdebga bgcadef
efacbdg decgbfa
fbcagde bdfgeac
egdbcfa bgedacf
dacgfeb abcgfed
gfecadb dfcegba
gadbcef cbdgeaf
adefbcg dgcbefa
febacdg efagbcd
cbfadge dcefagb
gcbdeaf debgfca
dbcgaef fdgebca
cbgeafd gbdaefc
cfeagdb fgdbace
adefcgb fcbdgea
gfbadec abefcgd
fecagbd abgfdec
agdcebf acfdebg
bfcegda ebadcgf
bdfegac cafdbge
bcagefd acfbged
fabecdg fgadbec
cgebdaf gcdbaef
fcgedba afcgedb
dbeafgc gaebfdc
egfcbad cgfbdae
cfeagbd decbfag
dcgefab edfbgca
cdfegab bdcefag
abfecgd gafcdeb
ecbgafd adgcebf
eadbcgf dcaefgb
eadcfgb bdfcgae
gcdfaeb egabfcd
edcfagb gcedafb
defabgc cabgdef
cebdagf afgcdeb
dfacgbe bcfagde
agcebdf cdbefga
eacbdgf fdgecba
adfegcb fecbagd
gdfaecb cbagfed
abcedfg defbgca
cebadfg cedfgba
dafbcge bafdceg
edbcfag gebfacd
cbadfeg cbfagde
feacdbg bcadefg
bgfacde dcbfeag
dfacegb fecagbd
fcbgaed dfacbge
edabfgc gfbecad
cgadfeb edcgfab
debcfga egabcfd
bfcgdea bagedfc
ecdfagb dfbecag
fgdaebc gedfbca
cafbegd egbcdaf
fgcebad gecbadf
fcdbega cbafegd
cdfbgae gfebdac
bdfeagc geabcdf
gedfbca ecafbdg
defgbca gcaedbf
gbadecf caegfdb
efgdcab gfcadeb
faebdcg bcfgaed
dbgefca daefbcg
afdbecg cbdgafe
egcfbda cebafgd
cdbgfae fcedbga
fgabced degfabc
aegbcdf gdefcab
agfecbd fedgcab
dbcgefa egdacfb
fcbedag gbcdafe
ebacgdf gadefbc
cgbdfae dceabgf
fbgdeac ecgafbd
fcdgbae bgecafd
fbaedgc gaedbcf
febagdc edbgcaf
egdafbc ebdfgca
agfbdce cdebfga
aecfbdg efbgcda
bdgafce eafgcdb
ecbgfda efgcbda
dbegcaf gfebcda
cdfageb geafdbc
dfgecba dcbgfae
befcdag fgecbda
abdefcg agdebfc
gafebcd fbaegcd
adbfgce gfcabde
bfdgeca cdgbafe
dgbacef eagfbdc
dgefcab gdeafbc
cadgebf adcefgb
fecgbda bcdeafg
cgabedf dfcbgae
dbagecf dfabecg
bdgacef fdbgeca
bcdfgae afbecgd
acebgfd fegadbc
bgdecaf caebgdf
dceagfb agedcfb
fdgebca aedgfcb
bafdcge ceabdfg
dabgfce ebfdgca
adegfbc fgecadb
gbdfeac beacgfd
fadcgbe cgedbfa
fgbadec beagdfc
cgbdaef gbcdeaf
dfgcaeb gacdefb
gecfbda cbedagf
gbfacde ebdcagf
cfgdaeb fagcdbe
ebfacdg gedbcaf
fagebdc dbafecg
acgbdef dfeagbc
bfgecda dacefbg
gfedcba dafgceb
gaefbcd cgeabfd
ecfdgba gbaefcd
dcbgeaf egfadbc
acgefdb egcdbfa
bfdcgea dbefagc
gbfecda afdgebc
fcabegd fbcgade
fcedgba dfgabce
fgcbeda gebfcda
gfdbace gfcdbae
febgdac decgfba
adbgfec beacgdf
dfbcgae dgfeabc
bafedgc abfgedc
fdgabce fcdegba
becdagf acefgbd
gecbafd acgbedf
gcdbeaf bafdgce
eadgbfc agdcfbe
gfebdac cgefdba
gedbfca baedfgc
gcbefda cbfgade
fdgcabe fdbegac
cgfedba bgaedfc
dafcbge afbcdge
efadgcb adbecfg
adgbfce aefdgbc
dbecagf dfgacbe
acgedbf befcdga
eabfdgc gcfbead
gfedcab gfcebad
gbfcaed fbegdca
cgdfeab bafgdce
bcgafde cadfbge
cbaedgf gcbeadf
dfegcab cdgfeba
dacgbef gdbacfe
cbgdafe fagebdc
fgdcabe agcfdeb
cgdbfea dbecgaf
fecabgd gbafced
degcabf gbdfaec
eadbcfg cfeagbd
bafecgd bfdgaec
dfgcabe efbcdga
cfdaebg aedfgbc
gabcfde gadbfec
feadcgb dgcfeba
fdaecgb afgecbd
edcafbg acbdfeg
bdcaefg cbedgfa
efcagbd fgdabce
agebdcf egcfbda
ebfacgd bgeadfc
cgbefda dceabfg
cafdebg fdebcga
cbfaged fgebcda
acdfgeb deabgcf
adfcgbe fbeadgc
dafbgce dbeagcf
cdaegbf cbgfeda
gabcdef gcedbaf
fagdbec dagfecb
bedafcg cgbfead
gabdefc bafgdec
fdbcage cbgeafd
fedagcb gfbdeca
decbfag aecbdgf
gefdcba dabgfce
daegcfb adgcbef
ecagbfd cedbagf
fbdegac bceagfd
feabgcd caedbfg
agefdcb gcdebaf
efgdabc bagecdf
debafgc gcbaedf
gefdcab fgabedc
bfgcead fcgabde
dcbeagf ebfgacd
dbagcef dcbegfa
cefadgb gfbaced
dfcgaeb efbgdac
eabfgdc efdabcg
eabcgdf cabegdf
gcaebdf abfgecd
edgfcba edfacgb
cdbgefa acfgdeb
cfegabd gbdcaef
abgdefc egdcabf
bcdgaef bfegdca
dcagefb faedgbc
gfacdeb dgbafce
bgcefda cdfabeg
deagbfc ebfcgda
fedgcba dfaegbc
adbcfge dgecafb
agcfdbe gbfecad
afgbdec daecgbf
aebgdcf afcgdeb
cfedgba cgdbfea
fcadbeg eabcdfg
cgfabde geafbdc
dbfecag bafegdc
adcbgfe edgbfac
dgaefbc cbdeafg
acfegdb dgfecab
eabcdgf bacedgf
egcbadf cafgedb
bdgceaf adgfcbe
adecbgf dcebagf
fbdcega gacfebd
fdcaegb dcbafge
bdecfag fabegcd
cgfedab cdfbgae
cbgedfa cbfdega
acefbgd dgcebfa
bfecdga dgacbfe
cbgfeda bafgcde
cedfabg cefdagb
cgbedaf efbgacd
gfcdbae defgcab
ebgdfca bfcaegd
bcdagfe gcefdba
dgbfcae cagbdfe
bedfcag fcbgdae
bgafcde dbgacfe
fgaecbd cebfagd
cbgeadf gcdbeaf
cedfgba badgecf
agdcfbe cegfbda
bagdfec dcegfab
bagefcd dgcbeaf
ebafcdg fbadceg
gbeafcd faecdgb
cebgdaf dfeabgc
efdbagc gfeabcd
geacbdf cgeadbf
fecgdab dbfcega
cfagdeb gdfaebc
agedbcf befcgda
aedfbcg gebdcaf
gcdabef fabgcde
afebgdc gfeacbd
fdcbaeg edcgbaf
dfbeacg bgdcafe
cagdebf gaecfbd
agcbefd fbecadg
adfcbge gdcabfe
bgfcdae gbceadf
fagbcde cefgabd
gbdacfe edfgacb
fbdcgea bgcdafe
fabgdec gefcadb
ebacgfd fadcebg
dfgbcea fbgdaec
dbafgec cefbdag
bcfdgae acegfdb
afcbedg afdgcbe
eafdbgc adcfbge
cgefbad bgfcdae
gcdfabe bcgefad
gceafdb gefbacd
dabcefg eagbdcf
febgadc cbgedfa
cfdbage faebdcg
gbceadf fdbacge
fbdcaeg cdgfbae
fcgbead bdagecf
gebadcf dagefcb
gadecfb dcgfeba
cbdgeaf bfcgead
cadefgb gcabdfe
agbdecf fgbacde
fceabgd cfeadbg
cgdafeb fagdbec
gbacdfe cagfdbe
efcgadb cadgfbe
ecdbgfa ecdagfb
dbacegf gacedfb
agdfebc ecfagdb
fabdgec dfcaebg
adbecfg cdagefb
faebcdg gabcdfe
bceagfd fdgabec
dfgceab adcgbfe
gfedbca gefcabd
gacdbfe befgdca
ecadbgf bacfdge
bacdfeg bcfdaeg
adcfgeb fgeacdb
gcafebd bfcgdea
fceadbg cgaefdb
cbagefd gafbcde
cbfgaed gadfbce
gafcedb ecfdbga
eagfcbd dcegfba
dgbefca cegafdb
bagecfd gafdecb
egbdcaf bdgfaec
abfcged ebcdafg
edgbcfa efcadgb
fgcdaeb ecdgfba
aebfgdc acfedbg
gbacfde bedcafg
fbecagd gfdecba
dgfebca dcbaegf
