1000
afegcdb gdcfbea
bfaegdc geacdbf, dgecafb abdfceg
ebgacdf gdfaebc, cgedbaf aebcfgd
efabgcd aedgbcf, aefbcdg cadfegb
degfacb abcefgd, gbceadf fdgbeca
dafebcg cdaegbf, fgbaced bdfceag
egdcfab egfbdca, agcbfde gdbeacf
agedfbc bgafdec, aedbgcf bgaefcd
gacebdf cdefbag, acdbfeg gdafecb
bcgeadf fcgbead, bacfgde cbgafde
fcgedba gafecbd, beagdfc fabedgc
fdcgeba gdebfca, debcafg gecfdab
abcgefd abcdgef, bcgaedf eacdbfg
adbfgce geabdcf, eabdcfg ebfadcg
cfagdbe ebacdgf, dgafcbe fadegbc
gcdfeba gaedcfb, cfeagbd egbdfac
dcfegba deafcgb, gfbdace bdaecgf
agcdbef aegcbfd, bdegcaf acgfbde
gbecfda bafdgce, gbcefad efgcabd
fegacbd dgfaceb, efgadbc gbaefcd
bfeacgd bgadcfe, adbfceg abgedfc
defbcga afedcgb, fagdbce gafecdb
cgfabed gacbdfe, cbagdef agfcebd
abfdecg gfacebd, cgbdaef bcgadef
cfadgbe dbafgec, acbfged daegcfb
gaedbcf efcgbda, cdfbeag cfgebda
cedfbag cfdbage, dcfegba deafcgb
dafcbge eabgfdc, ecdfabg gfdeabc
dcegabf bgcafde, gebfcad dgefacb
cgbeafd cfgdabe, bcfeadg egcadfb
cegdafb faecgdb, fedcabg bgfcdea
bgdefca cfgeabd, gcfdabe fbcdeag
bdcgeaf egfcdba, bdeagfc bgfaedc
eafbcdg eagfbcd, fdgbcae gdbecaf
fbagdce bdfegac, dbeafgc ebafcgd
egdcfba fgcdeab, gcdbaef adbefgc
aedgcfb bdcfgae, bfdaceg febgcad
dgacbfe dfgbaec, becdgaf cfbdeag
baegdfc bfdcgae, gfbcead fecabgd
cgeafbd cagdbef, adefcbg fbgdaec
cbdefga cfgdeba, bgdfcea edfabgc
daebfgc dbgfcae, dfagbce agdebfc
cgaefdb facdebg, aegfcbd gcbafde
bdeagfc bgfaedc, adbfgce geabdcf
decbgfa bceagdf, gcdfeba gaedcfb
cfbaged cbdfaeg, gabefcd dgbcafe
ecbadfg dbcegaf, cegdafb faecgdb
gbcdafe badgfce, bcfeagd bgefdca
dfcbaeg egdbfac, bcdfgae bfdaegc
cgfabed gacbdfe, aefcbgd gceadfb
bgaedcf cagdfeb, abcdgfe afegdbc
cadegfb fdcegab, gafebcd dfecgba
bfcgead acgdfbe, gebacfd dfcgbea
eadcfbg bafdgec, becdfag cagfbde
dceabgf gcbdfea, fgedabc dfgecba
cbdfega egbfdca, dgbecaf bdcfgea
gacbefd degcfab, gbceadf fdgbeca
caebdgf edabfgc, cebdfag dbfgcae
agdebcf ceafdbg, cdfabeg efcagbd
cbfaedg gcbeafd, begcafd acbdfge
fbagdce bdfegac, gfebcda dagfbce
bcfdega cdgfabe, fbcedga bdeafgc
gdbcaef agdfecb, gbcafed gfadceb
cgdabfe defgbac, befgacd abdcfeg
dcgbaef adgcbfe, edfacbg faegbcd
gcfebda fagdecb, bgafdec caedgbf
bacfgde cbgafde, bgfaced agcfdeb
cedgfab fdagecb, aegcfdb cagbfed
gbfadec bafcdge, cgefdba cbdagfe
cbaegfd fdgecba, dfebagc dcaefbg
fdbagec decbfag, bfadgce aebgfcd
cedgfba edgfcab, abfecgd cbgdfae
aecdbfg fgbecda, fdbacge bfacgde
afebgcd bcgdafe, dgafebc dcbfeag
fabgdce cfdabeg, cdbagef faebcdg
cefdabg fdbgeac, dbafecg aebdcfg
efcgbda bdegacf, cadfegb dcgafeb
agcdbef aegcbfd, fdacegb efbdcga
dfabegc abecgdf, degfbac egdcbaf
dacfgeb bdcgeaf, dbfagec egcbfda
cfdageb caefgdb, egdfabc bcafged
bdgaecf afdecbg, gecdfba aedbfcg
cfbdgea dcfabeg, gebacfd dfcgbea
agbfecd ceafbdg, bedagcf fegdbac
cbagfed adfecbg, feacbdg dcgabef
beagdfc fabedgc, fcgbead bagdfec
dgeafbc fgabdce, ebadgcf bgfcaed
gafdbce afdgcbe, cfadbeg efdbagc
bfgcdea gdcebfa, gadbefc ecabgfd
fabecdg dgfcaeb, dgafcbe fadegbc
fbgaedc afbcegd, dfcbeag aegdfbc
bcgaedf eacdbfg, gabefdc bedgfac
abecfgd abdgcef, dfebagc dcaefbg
dacgfeb efagbdc, fbegcad dbagfce
deabcfg bcdagef, cfeagbd egbdfac
dgefbac afgdcbe, cbagfde dbgacef
cfagdbe ebacdgf, ecdgafb fgbedac
cebafgd dbfcaeg, adfgecb gfcbdea
ecbgfad gfaebdc, adcebfg agbfedc
aebgfdc bdeagfc, gfbdace bdaecgf
cadfbge bafegcd, gfdaebc fbceagd
dcgfaeb ebgafdc, fgbadce gbcfade
cbgefad cbeadgf, fecgbad dcgbafe
cfadbeg efdbagc, gabefdc bedgfac
gdacfbe bcefdga, agcdebf fegadcb
dabcefg fecbadg, abedfgc edgcbaf
bcadegf fgcbdea, fdcabge agbefdc
gcafdeb cgfedab, cbdgafe cabegdf
dgecfba ecbdgaf, abcedgf egbfadc
dcfaegb gdfbeca, gecabfd bgacdef
bgfaced agcfdeb, acedbfg efacdgb
gbcdafe badgfce, dfbgeca ecdabgf
gafcbed baecdgf, fdbaecg acfgdbe
bcfaegd ecadgfb, becdfag cagfbde
gdacfbe bcefdga, fedagbc ecgfbda
eadgbfc cdbeafg, cfgdeab bgcdefa
becfagd bfacegd, fdbagec decbfag
gcfadeb debagfc, debcagf bfedgca
cbfaged cdfageb, eagcbdf gcadebf
efbgadc bfdeagc, fegdbca fcedabg
cfebgda adbfegc, egdcbaf cbaedfg
facgdbe bgadefc, bdefcga dcgeabf
dbafegc dcbgfae, abgedfc gfacedb
gebfcad dgefacb, egfbcda bdfgace
gebadfc fgbeadc, ebgcdfa bcgedfa
egfdcab dfcgabe, cdgfbea fbgcade
ecfgadb cafdgeb, cafbgde gcbdafe
fbcaged dafegcb, aefcbgd gceadfb
acfegbd afegcbd, dbagfec dbecgaf
degfcba befadgc, edbcfga acdgfbe
adgcfeb gebadcf, cfbdaeg fegcbda
gebacfd dfcgbea, aefcbgd gceadfb
fbcaegd fedgacb, fdeagcb afebdgc
ecbfadg fagbdce, aefcbgd gceadfb
eagbdcf bacfged, dcebafg aecbgdf
840
fecbagd dfabecg
bdfaegc geacbfd
edgbafc gecfadb
becdfag cagfbde
adbegcf edgbacf
cabgfde fgbaedc
agedbcf cedbafg
edabgcf cbdefga
agbfedc gcdabfe
edbcgaf cdaebgf
gacbefd degcfab
cbdefga cfgdeba
begcdfa ecafgbd
fabcgde fbgcdea
abdgefc fdbacge
gebfcad dgefacb
fedgcab cdbgafe
dcgbfae bcgfdea
cfadgbe dbafgec
abedfgc edgcbaf
cbaedfg gbcafed
cdbagef faebcdg
edgcfba gabefdc
dfcbeag aegdfbc
gdabfce eadgfbc
cgbdfae decfbga
gcdbfae bcgfeda
fcdgeba afdgceb
dgecafb abdfceg
gbdfcea cfabdge
becdgaf cfbdeag
beagdfc fabedgc
cfedagb debafcg
begcdfa ecafgbd
fabcdeg ecfabgd
ebfdgca gedcbfa
ecfabgd bedfcga
facdebg eafcbdg
facedbg gcbefad
afgdebc efgdcba
caegdfb gbdafec
edgcfab cdefgba
adefcbg fbgdaec
bcfaegd ecadgfb
agfedbc gbadecf
fdbagec decbfag
adcfbge gfbdcae
bfgadec facebgd
eacdbfg bagfdce
cgbfead baecfgd
becgafd egcfbad
fdgceba bfgcaed
deacbfg bfegadc
cdbfage bagcfed
badfgce defbgca
dafcbge eabgfdc
gbcefad efgcabd
defcagb aegbcdf
afdbegc gcfebad
afcgdeb fgdaecb
cbagfed adfecbg
fgedabc dfgecba
becdafg gcfebda
gbeafcd ecfadbg
eagfdcb gadcbfe
adebfgc eabdcfg
bafdgec gbefadc
fbdegca cefgabd
fgdebac deagfbc
afgbcde adcefgb
fcbaegd bcdgafe
feabgdc geacbdf
cabdfeg ebfdgac
fagdecb dbecagf
eafbcgd bfagced
bcadfge fcabegd
geabcdf gdaecfb
cbdfage gdbcaef
aecgbfd gabfced
dgfbeca gecbdfa
cgedbaf aebcfgd
cegbdaf gbdface
eadbfcg efdabgc
fcagbed bdaecfg
gfabedc cfebadg
ebcagfd gcabdfe
edfgcab cabgedf
cfdageb caefgdb
bfgdcea fbdeacg
cadfbge bafegcd
gfdebca aedfcgb
gdcbafe acgefdb
cgaefdb facdebg
gbdafec edacgbf
bacdgef gfdbcea
cbaedfg gbcafed
dabefgc fdaegcb
ebafcgd cedbfag
cdfbgae eafcbgd
ecgfdab fbcadeg
edfbgca gfadbec
bcgeadf fcgbead
fadcegb bgdecfa
dfgaebc gefadbc
acdgbef eabfdcg
egfdcab dfcgabe
adbgfce fcgdaeb
cbedgaf cdfbeag
gbeadcf cebdgaf
efbcdag gafebdc
bedagcf fegdbac
ecgfdab fbcadeg
fecbdag dgcbafe
becagfd bagefcd
cbefdga febgadc
fdacegb efbdcga
cfgedba dcfegab
edgbcfa fabgdec
gbefadc fagecbd
efbadgc adgfceb
aedcfgb cgdebfa
cdbafeg dafebcg
cfebgda adbfegc
gbdcafe cfbadeg
bfdgaec abdgcfe
ebgadcf defbcga
cebafgd dbfcaeg
edafcgb bcagefd
ecbagdf dfgbeac
gfedacb ebgafcd
gebfacd defagbc
ebcadgf faedbgc
fdgcaeb egfdcba
egfbcda bdfgace
edcfbag facegbd
abcedgf egbfadc
efabcgd cegbfda
fbdgcea fgdbeac
bfdgace febdagc
aegdbcf gabecdf
cbdefga cfgdeba
cfbdaeg fegcbda
bcfedag fecbdag
gdbceaf begfcad
eafdcgb cafbegd
dfbcgea acbfegd
gcbfdea ebcagdf
egcfabd dbcagfe
ecdgbaf afbcged
cgbafed acbgfed
fdcgbae cadebfg
dbcgaef daecfbg
gcdfeba gaedcfb
gbcafed gfadceb
gecfabd edfacgb
ecfbdag agecbfd
gbdafec edacgbf
degfacb abcefgd
dbecgaf efcgdab
gbeadcf cebdgaf
cbfdgae fbgecad
gecdfba aedbfcg
acdebfg gbeacfd
dafgebc gdefbca
acbfgde fedbacg
agefdbc bfcegad
adecgbf adfcgeb
fgabecd fcegbad
gbdcafe cfbadeg
bgcdfea fbadgec
ecbdgaf adcgfeb
egdfbac dgafcbe
gbdecfa abefgcd
degfbac egdcbaf
aecgfdb cebagdf
cegbdfa cfaegbd
gecdbfa egbdacf
cbagedf dcafgbe
aefbcdg cadfegb
dgacbfe dfgbaec
fadcegb bgdecfa
egabcdf cbdafge
gdcbafe acgefdb
cfedagb debafcg
aebgfdc bdeagfc
eagdfbc gabfcde
gcfdabe fbcdeag
dfabegc abecgdf
bgfdace degfbac
gfbcead fecabgd
acdbgfe gbcedaf
acfgdeb cdgabfe
ecgdfba aegfbcd
agfedbc gbadecf
edfbacg dfacegb
cdeagbf geafbcd
ecfgdba cfagdeb
afcgbed bcagfed
gbdcaef fcebdag
fcbaegd bcdgafe
aebfgdc bgafced
efgacbd fgdbeca
abcedgf egbfadc
dbeafgc ebafcgd
gfcdabe eagfdcb
aebfdgc fbecgad
gdbcaef agdfecb
fdacegb efbdcga
acdbgfe gbcedaf
gdabfce eadgfbc
bgdefca cfgeabd
egafbdc gbeadcf
cfeagbd egbdfac
feadcbg bcgdfea
dafebcg cdaegbf
gaebfcd bedgacf
eagcfdb deacfbg
egcfbda cefbdga
aefbgdc baefdgc
efagbcd gfbadce
fcedabg fgdbace
gbcfdea bfeadcg
agdbfce fcbgeda
cgbedaf fbgcead
gecfabd edfacgb
fgbcade fcdageb
cadegbf gbdceaf
fbecadg gfbdeac
fgbcade fcdageb
dcfbaeg cbfdgae
gadbefc ecabgfd
edacbfg adgbcfe
cgbdeaf eacgfdb
egfdcab dfcgabe
defbcga afedcgb
agfedbc gbadecf
dfbgeac cagbdfe
egabcdf cbdafge
cegfabd faecgbd
gaedbcf efcgbda
cedfgab bcgdfae
ecbfadg fagbdce
afdgcbe bdacefg
fcdageb cdefabg
dfebacg egbfcad
abcedgf egbfadc
gcefdba bcdgeaf
fdbaecg acfgdbe
bedafcg fdecbga
baecfgd cfgebad
begcdfa ecafgbd
dcefgba gbfcead
gdcbfea cfdaebg
dfbcaeg gaecdbf
bdecgaf efgbacd
debacgf cfdabge
dcgbaef adgcbfe
geabcdf gdaecfb
fcadbeg gdcebaf
dfbgeca ecdabgf
febacgd adgcefb
bgefadc edgfabc
cbgeafd dgcfaeb
fcgebad cbgefad
bafdgec gbefadc
degfacb abcefgd
gbaedfc debcafg
cfagebd fcegabd
efgabdc edcfbga
bedagcf fegdbac
fedbgca dgfceab
fcdbaeg cfdbaeg
ecdfabg gfdeabc
fcagbed bdaecfg
cfbadge eacfdbg
agcdbef aegcbfd
fadcegb bgdecfa
gdbceaf begfcad
aecgfdb cebagdf
ecfgadb cafdgeb
cgbafed acbgfed
fedcabg bgfcdea
ecbadfg dbcegaf
dgafebc dcbfeag
gcafdeb cgfedab
eadcfbg bafdgec
afcdbge eabcfgd
bcegfda cadebgf
fcaegdb dgebafc
edabgcf cbdefga
decbgfa bceagdf
fecdbga aebgfdc
geabdfc cedgafb
eagcbfd gdcfabe
fgedabc dfgecba
dbcafeg afcgbde
abfcedg fdabgec
dgafbec bfdgcae
gbdafec edacgbf
dgbacfe fdgbcea
beadfgc beadcgf
fcdgeba afdgceb
bfdgaec abdgcfe
ebfdgca gedcbfa
fdbgeca fegdcab
efabgcd aedgbcf
debacgf cfdabge
dbfaceg bacgfed
aebfdgc fbecgad
gfebcda dagfbce
fagcedb aebdfcg
aefgbcd adfbcge
gdcbafe acgefdb
acdgbef eabfdcg
aefgbcd adfbcge
eagcfdb deacfbg
dcgbfae bcgfdea
aebcfgd egbcadf
fcdbaeg cfdbaeg
afcedgb bgfecda
efgacbd fgdbeca
abcedgf egbfadc
fgcadbe dcafebg
eafbdgc afcgdeb
ecdfabg gfdeabc
cgaefdb facdebg
gbcafed gfadceb
eacgdfb caebgdf
defabcg fgadbce
eadfbgc cgfbdea
becgafd egcfbad
gfbedac fdgceab
gacefbd facbgde
dgbfcae beagcfd
fdbaecg acfgdbe
degacbf cabfegd
efgbcad gdfbeac
edfacbg faegbcd
gfcdabe eagfdcb
ecfabgd bedfcga
fdeabcg dcbeagf
cdbfage bagcfed
bgfcdae fgcadbe
edcfbag facegbd
bcegfda cadebgf
aegcdbf gfacbde
acefbgd acfedbg
cbefdga febgadc
abgcdfe gbdefca
aedcbfg ecgabdf
abfcedg fdabgec
eadgbfc cdbeafg
bfeacgd bgadcfe
begcafd acbdfge
egfadbc dfgbcea
egabcdf cbdafge
dfebagc dcaefbg
gaedbcf efcgbda
eagfbcd dcagbfe
cbefdga febgadc
gbedafc gfbaedc
egcfbda cefbdga
eagfdcb gadcbfe
bgdfeca badefcg
aedcfgb cgdebfa
eagcfdb deacfbg
cgdfbea dfbagec
afebcgd cbfdage
dcbeafg gbfcaed
fabecdg dgfcaeb
gebacdf gebcfda
dbfegca defagcb
dbagfec dbecgaf
bcagedf gecbfad
dfecagb gacdebf
edbgacf cgbefda
cgbfead baecfgd
gcfdabe fbcdeag
dfebcga cdfbage
cedfgab bcgdfae
gcefdba bcdgeaf
beafcgd cdbfgea
agcbfde gdbeacf
decbagf fagdbce
bcagfde eacgbdf
cadegbf gbdceaf
aedgcfb bdcfgae
cbdagef ceagbdf
cgefdba cbdagfe
facgdbe bgadefc
dcafgbe bdcfega
dbagfec dbecgaf
aebfdcg bcdgaef
cedgfab fdagecb
dbagfec dbecgaf
acdbfeg gdafecb
dbefgca aedfcbg
cdfagbe eadcfgb
defgbca cdbgfea
aegcfbd fbagdce
cfbadge eacfdbg
agfedbc gbadecf
cdfbgae eafcbgd
cabefdg afbgdce
dafgceb bdacfge
egbacfd gcbedaf
dbafecg aebdcfg
dacfgeb bdcgeaf
cfdagbe cgdfbea
gdbcaef agdfecb
egfbcda bdfgace
dgecfab dbefcga
dgacfbe bdegcaf
gdabecf bcefdag
afegdbc bafcegd
gcfebda fagdecb
dgbafce gadfecb
fdcgbae cadebfg
agcbfde gdbeacf
fcbadge gfcbead
bcfegad gbefacd
efbcdag gafebdc
feabcdg bgaefdc
edcgbfa caefdgb
ecbdgaf adcgfeb
eagbdcf bacfged
dbacgef gacdefb
abgfced bdcafeg
bdecfga feabcgd
aebcgdf cbedgfa
dgecfba ecbdgaf
dfbceag adefbgc
cfagbed bgfcead
gcaebdf bfdegac
abdcgef bedacfg
cbagfde dbgacef
agbfecd ceafbdg
agdebcf ceafdbg
aefbcdg cadfegb
fdcgbae cadebfg
gdbfcae fbdaegc
beadfgc beadcgf
gcfeabd cefabgd
bcadfge fcabegd
dacgfeb efagbdc
efdgabc agecfdb
dfbcgea acbfegd
bfadgce aebgfcd
gacebdf cdefbag
dfaebcg ecabgdf
bdefcga dcgeabf
fcgedab dcfgabe
cgeafbd cagdbef
dgefbac afgdcbe
bfdgaec abdgcfe
ecagfdb gebacdf
faebcgd fcabgde
cadbfeg daebgcf
bdcaefg cgabfed
dcefgba gbfcead
cafbegd ebacfdg
cdbegfa gbecfad
abdgfec debgcaf
aedgcfb bdcfgae
fabedgc edbgacf
edacbfg adgbcfe
gbdfcea cfabdge
cgdfaeb gdbcefa
dcgeafb gfdbeac
bfadgce aebgfcd
edfbacg dfacegb
abdfgce fbdegac
ecbagdf dfgbeac
defagbc aegbdcf
agfedbc gbadecf
fdeabcg dcbeagf
cbdgeaf defcgba
gabedcf cdfgeba
bdeagfc bgfaedc
cafbegd ebacfdg
bfedcga debcfag
cdafbeg daebgfc
abfgdce ebdgfca
cbaedfg gbcafed
edabfgc fcabdeg
edcafgb gecabdf
gdfbcea fgaecbd
gdcbafe acgefdb
gfbeadc aefbcgd
bcedfga efdagbc
ecgdfba aegfbcd
cfgedba dcfegab
fbecadg gfbdeac
gbecfda bafdgce
fadcegb bgdecfa
gacbedf fcdegba
ecdbgfa cdgfaeb
dbecgaf efcgdab
fbacgde edbgcaf
dacbfeg bcefgda
bagecfd fbdgeca
feadcbg bcgdfea
cgbdeaf eacgfdb
abfgcde bgfeadc
gdfecab gdcbfae
gdcbfea cfdaebg
fbcaegd fedgacb
fabgcde bcegdaf
dfeacbg fbcgeda
acfgdeb cdgabfe
ebacdfg bgafedc
gadfcbe egfbdac
dafgceb bdacfge
agfbced cadbefg
dfbceag adefbgc
dceabgf gcbdfea
cedfbag cfdbage
fcdbeag agfdbec
fabcged acbfged
bcadegf fgcbdea
bgefadc edgfabc
dgecafb abdfceg
gdcbfea cfdaebg
gafcbed baecdgf
becgafd egcfbad
cgeadbf fbecdag
bacdfge gbadfec
fdbagec decbfag
cbedagf dcagfeb
cfadgeb beafgcd
daefbcg fbdgcea
ebcagfd gcabdfe
dbfcaeg baefgdc
gdfabce egcbfad
cfgdaeb dfagbec
ecdfabg gfdeabc
bfadgce aebgfcd
afcbgde bdcgfea
cegadfb begfdca
gbeadcf cebdgaf
gecdfba aedbfcg
gbcafed gfadceb
dgbafce gadfecb
aecgdfb ecbfdag
ebafcdg adbgfec
fadcegb bgdecfa
abgfecd dfcgeab
bgdfcea edfabgc
fdbagec decbfag
acfbdge bcadefg
dfebagc dcaefbg
bcagdfe agefdcb
ecbdfag dgceafb
bagdcfe cgabdfe
gcdfeba gaedcfb
cfdabeg fbcedga
gbcafed gfadceb
eagdfbc gabfcde
bgcfade dgebcfa
gbfedac abfegdc
bcfedag fecbdag
becgafd egcfbad
decbagf fagdbce
acdbfeg gdafecb
efcdgab cbdgefa
ebafcgd cedbfag
dfeacbg fbcgeda
acfbegd fgdebca
gcaebdf bfdegac
dfbcaeg gaecdbf
edcbgaf fdabceg
cefgabd dcafegb
aedcbfg ecgabdf
ebgfadc fegadbc
dgaefbc ebdagcf
degfcba befadgc
dafgebc gdefbca
bfeacgd bgadcfe
bcgedfa cdagfbe
edfgcba dfgebca
degfacb abcefgd
cbgfaed adgfcbe
gbcefad efgcabd
daecbfg bcgedaf
dfagbce agdebfc
debfacg dacbgef
bcdfgae bfdaegc
fabcdeg ecfabgd
beadfgc beadcgf
cgedbaf aebcfgd
aegcfbd fbagdce
gbdeafc egafdbc
gefadcb defgbca
cfadgeb beafgcd
fcdbaeg cfdbaeg
gbafced gabcedf
bfcdaeg dcbfgea
afegcdb gdcfbea
cadegfb fdcegab
degbfac fdgecab
bgcfead dfegbca
aedgbfc cgfadbe
gafecbd acgbedf
bfgadec facebgd
eafbgdc ebgdafc
cgbadfe agbfdec
gbcfdea bfeadcg
abcdgfe afegdbc
ecdagbf eacgdbf
eafbdgc afcgdeb
gfbecda dabgfce
becdgaf cfbdeag
bedcafg acedbfg
gfeabcd dcgbefa
cadfegb dcgafeb
becdgaf cfbdeag
fabecdg dgfcaeb
efgabdc edcfbga
befadcg gcdbfea
fcdgbae cagedbf
efdbagc fbdaceg
abecfgd abdgcef
bcgedfa cdagfbe
adbgfce fcgdaeb
bfeacdg dbeagcf
caegbdf fdbegac
cafdbeg abdfecg
caebdgf edabfgc
fadbcge febdgac
deacbfg bfegadc
cdagfeb beafcdg
cdgbafe ecbdfga
acedfgb agbedfc
edcbgaf fdabceg
cebafgd dbfcaeg
adcebfg agbfedc
gcfedab cgbedfa
gafcbde fedacbg
dcegfab fgebdac
edafcgb bcagefd
dcgbaef adgcbfe
egcbfda gbaedcf
decbagf fagdbce
edfgcba dfgebca
gdbfcae fbdaegc
edbfcag agdfbec
egdcfba fgcdeab
ecdgfab bdcagfe
dbafecg aebdcfg
gbdcafe cfbadeg
bfacdge abfdegc
fdgbcae gdbecaf
gadbfce fdgebca
gfedacb ebgafcd
gdfbcae dabcfge
dgbfcae beagcfd
adfgecb gfcbdea
dgcbfae ebfcgda
fdgeacb adcfbge
adbfceg abgedfc
fegcdab dafgebc
cbefdga febgadc
badcefg cfgbdea
egcfbda cefbdga
dcagfbe cdeafgb
dgafcbe fadegbc
aedbgcf bgaefcd
dcagfeb fbdgeac
efcdgab cbdgefa
edfacbg faegbcd
geabcdf gdaecfb
cfbadge eacfdbg
agedbcf cedbafg
afegdbc bafcegd
bdgaecf afdecbg
dgfecab baedgcf
gaefdbc cfeagbd
aefbgdc baefdgc
agdbefc bfcgdea
debcagf bfedgca
adbcefg dafgceb
baecgfd becfdag
bgcdfea fbadgec
cbagdef agfcebd
cbdagef ceagbdf
cdefbga cbdfeag
cgaedfb bfgcade
dabefgc fdaegcb
bfdgace febdagc
dcafbeg cdfeagb
fecbdag dgcbafe
abdgefc fdbacge
edabgcf cbdefga
cgaedfb bfgcade
eagcbdf gcadebf
fcdbaeg cfdbaeg
bedagcf fegdbac
fedgcab cdbgafe
abgedfc gfacedb
dbefgca aedfcbg
fdeagcb afebdgc
aecgbfd gabfced
abefgdc cbadfeg
acgbdef dbfgcea
fcedgba gcadbef
edbfcga abgcdfe
fecdgba fbcgdae
gfbcead fecabgd
dcefgba gbfcead
cgdabfe defgbac
gcdbeaf dgfeacb
fcdageb cdefabg
gcfdabe fbcdeag
efdbagc fbdaceg
dgafbec bfdgcae
cbefdga febgadc
adfcbeg fdagebc
edcafgb gecabdf
aecdbfg fgbecda
dgbacfe fdgbcea
bfcgead acgdfbe
cgbadfe agbfdec
eadgbfc cdbeafg
abfecgd cbgdfae
cfeagbd egbdfac
dgecfab dbefcga
agdebfc gaefdcb
fcgdeab bgadecf
bgafdec caedgbf
bacdfge gbadfec
bcagdfe agefdcb
dcbgfae afebcdg
deacbfg bfegadc
bfcgead acgdfbe
eacdbfg bagfdce
efcadgb ecfdgba
edbcgaf cdaebgf
cafdbeg abdfecg
ebgcdfa bcgedfa
dbcegfa cfbedag
bgdfcea edfabgc
gdcebaf agdefbc
cdbfage bagcfed
gfabedc cfebadg
bgcfead dfegbca
edfbgca gfadbec
edacbfg adgbcfe
aefbgdc baefdgc
afecgbd fbeacgd
dafcegb acdebgf
bdfaegc geacbfd
efbdgac fedgcab
edgbcfa fabgdec
gbfdeac fadbgce
dfecagb gacdebf
aefbcdg cadfegb
gcafdeb cgfedab
egfadbc dfgbcea
bfacdge abfdegc
ecdbagf eagdbfc
efbcgad fbdagce
gfdabec beagfcd
caegdfb gbdafec
egdfbac dgafcbe
dagebfc fcgebad
gdbafec cdbefga
cdafgbe fagdcbe
edgbfca fegbdca
edbfcga abgcdfe
eadcfbg bafdgec
dbacgef gacdefb
dcfegab feabdgc
dbeafgc ebafcgd
gafdbce afdgcbe
fcbadge gfcbead
ecfgadb cafdgeb
abcdfeg acbfdeg
efbgadc bfdeagc
cbdagef ceagbdf
defbcga afedcgb
egdcfba fgcdeab
agdbefc bfcgdea
ebgadcf defbcga
adbfgce geabdcf
acbfgde fedbacg
dcgfaeb ebgafdc
gaefdbc cfeagbd
fdbagce gcdefba
fdcabge agbefdc
ebadgcf bgfcaed
aedfbcg bfgeacd
defgbac abegcfd
bdegcaf acgfbde
bfgadec facebgd
adbfgce geabdcf
bgaefcd bfecgad
dgafbec bfdgcae
dcbeagf bdfgcae
cabgfde fgbaedc
gabedcf cdfgeba
afdgcbe bdacefg
cebdfag dbfgcae
adbfecg gabedfc
dbefgca aedfcbg
fdebgca bgdcaef
dcebgaf geafcdb
dcgeafb gfdbeac
edbcfga acdgfbe
efgadbc gbaefcd
bdefgac bgfedca
ebcagfd gcabdfe
gabedcf cdfgeba
dcfaegb gdfbeca
adecgfb febgcda
abgfced bdcafeg
gfcedab eabdgcf
aegfcbd gcbafde
dcagfeb fbdgeac
bacdgef gfdbcea
efcdgab cbdgefa
dfebagc dcaefbg
agdebcf ceafdbg
cfagdbe ebacdgf
efgabdc edcfbga
gecdfba aedbfcg
ecbagdf dfgbeac
ebafgcd geadfbc
cabefdg afbgdce
fecbdag dgcbafe
aecgfdb cebagdf
dgacebf ecdgbfa
cfdagbe cgdfbea
dfecagb gacdebf
gafecbd acgbedf
egcfbda cefbdga
ebadgcf bgfcaed
gbeadcf cebdgaf
abfcedg fdabgec
gecdbfa egbdacf
abgedfc gfacedb
